Bryo_Species	Ge1	Ge10	Ge11	Ge12	Ge13	Ge14	Ge15	Ge16	Ge17	Ge18	Ge19	Ge2	Ge20	Ge21	Ge22	Ge23	Ge24	Ge25	Ge26	Ge27	Ge28	Ge29	Ge3	Ge30	Ge4	Ge5	Ge6	Ge7	Ge8	Ge9	Go1	Go10	Go11	Go12	Go13	Go14	Go15	Go16	Go17	Go18	Go19	Go2	Go20	Go21	Go22	Go23	Go24	Go25	Go26	Go27	Go28	Go29	Go3	Go30	Go4	Go5	Go6	Go7	Go8	Go9
Acanthocoleus madagascariensis	0.1	0	0	0.166666667	0	0	0	0.166666667	0	0	0	0.222222222	0.25	0	0.222222222	0	0	0.166666667	0.142857143	0	0.090909091	0.1	0	0	0.125	0	0	0	0	0	0.222222222	0.2	0.222222222	0	0.142857143	0	0.3	0.4	0.222222222	0.285714286	0.6	0	0.1	0	0	0.111111111	0.25	0.2	0.5	0.2	0.285714286	0.285714286	0.2	0.111111111	0.2	0	0.272727273	0.285714286	0.1	0.5
Aerolindigia capillacea	0	0	0	0.166666667	0	0	0	0	0	0	0	0	0.125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Brachymenium sp_	0	0.25	0.1	0.666666667	0.166666667	0	0.2	0.166666667	0	0.25	0.166666667	0.555555556	0.5	0	0	0	0	0.166666667	0.428571429	0	0	0	0	0	0.375	0.333333333	0.166666667	0.4	0	0	0.444444444	0.6	0.333333333	0.363636364	0.285714286	0.166666667	0.5	0	0.222222222	0.285714286	0	0	0.7	0.25	0.2	0.666666667	0.125	0	0.166666667	0.4	0.428571429	0.142857143	0.2	0.111111111	0	0.25	0.181818182	0	0.5	0.5
Brachymenium systylium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.090909091	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2	0	0	0	0.1	0
Brachythecium cf_ gloriosum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.125	0	0	0	0
Braunia secunda	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.142857143	0	0	0	0	0	0	0	0	0	0	0	0	0.166666667	0	0	0	0	0	0	0	0	0	0.111111111	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bryomaltaea obtusifolium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.090909091	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bryum huillense	0	0	0.2	0	0.166666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.111111111	0	0	0	0	0	0
Bryum kenyae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.166666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Campylopus sp_	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.111111111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Caudalejeunea sp_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.142857143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cheilolejeunea sp_	0	0	0	0	0.166666667	0	0	0	0.111111111	0	0	0.333333333	0	0.375	0	0	0.2	0	0.142857143	0.166666667	0	0.1	0.142857143	0.2	0.125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chiloscyphus difformis	0.2	0.25	0	0	0.166666667	0.142857143	0	0	0.111111111	0	0	0	0	0	0	0	0	0	0	0.166666667	0	0	0	0	0.25	0.333333333	0	0	0	0	0	0	0.111111111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chionoloma bombayense	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.166666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.125	0.2	0	0	0	0	0	0	0	0.125	0	0	0	0
