Plant species	Acacia brevispica	Acalypha psilostachya	Acanthus sp.	Achyranthes aspera	Achyrospermum schimperi	Acmella caulirhiza	Adenostemma mauritianum	Aerangis brachycarpa	Aerangis luteo-alba	Aframomum corrorima	Ageratum conyzoides	Agrocharis melanantha	Agrumularia sp.	Ajuga leucantha	Alchemilla sp.	Alternanthera sessilis	Amaranthus dubius	Aneilema aequinoctiale	Annona senegalensis	Ardisiandra sibthorpioides	Arisaema schimperianum	Arthopteris orientalis/monocarpa	Asparagus africanus	Asparagus racemosus	Asplenium aethiopicum	Asplenium bugoiense	Asplenium erectum	Asplenium mannii	Asplenium sandersonii	Asplenium smedsii	Asplenium theciferum	Barleria ventricosa	Bidens pilosa	Bidens prestinaria	Brugmansia suaveolens	Bulbophyllum josephii	Canna indica	Capparis tomentosa	Cardamine africana	Carduus leptacanthus	Carex sp.	Caryophylaceae (unidentified sp.1)	Celosia anthelminthica	Celosia schweinfurthiana	Celosia trigyna	Centella asiatica	Ceropegia sp.	Cheilanthes bergiana	Chlorophytum comosum	Cissampelos mucronata	Clematis hirsuta	Clematis longicauda	Clematis simensis	Clerodendrum myricoides	Climber (Asteracea)	Colocasia esculenta	Combretum paniculatum	Commelina africana	Commelina benghalensis	Commelina cf. Zambesica	Commelina diffusa	Commelina imberbis	Commelina latifolia	Commelina sp.	Conyza sp.	Crassocephalum sp. (distinct)	Crassocephalurn rubens	Crassula alsinoides	Crotalaria sp.	Cuscuta sp.	Cyathula prostrata	Cyathula uncinulata	Cynodon dactylon	Cynoglossum amplifolium	Cynoglossum coeruleum	Cynoglossum lanceolatum	Cyperus sp.	Cyphostemma adenocaule	Dalbergia lactea	Desmodium repandum	Desmodium uncinatum	Diaphananthe adoxa/tenuicalar	Dichondra repens	Dicrocephala integrifolia	Dicrocephala sp. (distinct)	Digitaria abyssinica	Digitaria sp. (distinct)	Dioscorea alata	Dioscorea schimperiana	Dolichos sp.	Dorstenia brownii	Doryopteris concolor	Dregea schimperi	Droguetia iners	Drymaria cordata	Drynaria volkensii	Elatostema monticolum	Eleusine floccifolia	Englerina woodfordioides	Eragrostis sp.	Euphorbia schimperiana	Fimbristylis sp.	Galinsoga parviflora	Galium sp.	Geranium arabicum	Girardinia diversifolia	Gloriosa superba	Glycine wightii	Gouania longispicata	Grass (with cordate leaf base)	Grewia ferruginea	Guizotia scabra	Habenaria sp.	Hibiscus sp.	Hippocratea africana	Huperzia dacrydioides	Hydrocotyle mannii	Hymenophyllum sp.	Hypoestes triflora/forescalli	Impatiens hochstetteri	Impatiens tinctoria	Indigofera spicata	Ipomoea purpurea	Jasminum abyssinicum	Justicia ladanoides	Justicia sp.	Kalanchoe laciniata	Kohautia coccinea	Kosteletzkya adoensis	Kosteletzkya begoniifolia	Lagenaria sp.	Laggera crispata	Landolphia buchananii	Lepisorus excavata	Leucas deflexa	Liparis deistelii	Lobelia sp.	Loxogramme abyssinica	Maytenus sp.	Microcoelia globulosa	Momordica foetida	Monopsis stellarioides	Nephrolepis undulata	Nervilia bicarinata	Nicandra physaloides	Ocimum lamiifolium	Oldenlandia sp.	Oleandra distenta	Oplismenus compositus	Oplismenus hirtellus	Oreosyce africana	Oxalis radicosa	Panicum atrosanguineum	Panicum maximum	Panicum sp. (distinct)	Paspalum scrobiculatum	Pavetta oliveriana	Pavonia urens	Pellaea viridis	Pentas lanceolata	Peperomia abyssinica	Peperomia tetraphylla	Peponium vogelii	Persicaria nepalensis	Persicaria setosula	Phaulopsis imbricata	Phyllanthus cf. leucanthus	Phyllanthus fischeri	Phyllanthus ovalifolius	Phyllanthus pseudoniruri	Phyllanthus sp.	Phyllanthus sp. (distinct)	Physalis ixocarpa	Physalis peruviana	Pilea rivularis	Pilea tetraphylla	Plectranthus sp.	Pleopeltis macrocarpa	Plumbago montis-elgonis	Poecilostachys oplismenoides	Polinia pinnata	Polystachya bennetiana/rivae	Polystachya candida	Polystachya cf. Aetiopica	Polystachya cultriformis	Polystachya eurychila	Polystichum transvaalense	Pouzolzia parasitica	Pseudechinolaena polystachya	Pteridium aquilinum	Pteris dentata/pterioides	Pterolobium stellatum	Pyrrosia schimperiana	Ranunculus multifidus	Ricinus communis	Rubus apetalus	Rubus sp. (distinct)	Rumex nepalensis	Salvia nilotica	Sanicula elata	Satureja paradoxa	Sauromatum venosum	Scadoxus multiflorus	Secamone parvifolia	Selaginella sp.	Senecio sp.	Setaria megaphylla	Setaria pumila	Sida rhombifolia	Sida sp. (distinct)	Solanecio gigas	Solanecio mannii	Solanecio sp. (distinct)	Solanum anguivi	Solanum giganteum	Solanum nigrum	Spermacoce sphaerostigma	Stachys sp.	Stellaria mannii	Stephania abyssinica	Stolzia sp.	Stylochaeton sp.	Tacazzea apiculata	Tacca leontopetaloides	Tagetes minuta	Tectaria gemmifera	Thalictrum rhynchocarpum	Thelypteris sp.	Thunbergia alata	Tiliacora troupinii	Tragia brevipes	Trifolium sp.	Tristemma mauritianum	Triumfetta brachyceras	Urera hypselodendron	Wahlenbergia krebsii	Vernonia hochstetteri	Vernonia sp.	Veronica abyssinica	Vigna sp.	Viola abyssinica	Vittaria guineensis	Zehneria scabra	Species_richness
Ge1		1		5			5	1	1	9	5		1									9							5																		5			1						1								5		1										1				9		1											9		5	9	1				1							1									5			5				1		5						1	5	5		1		5												5	1							5		1	9	5						1	1									5				1					1		9											5				1									5	1	1			1								1	5			1	1													55
Ge10				5			5													1		9			1								5						5	1									5												1					1		5										1		1															5	9				1			9										1			1	5		5	5													5	1				5														1									5							1								9						1																		5																																			5							5		34
Ge11				1			1				5	5								1		5			5					1			5						5	1		1				5												5								1		9		1						5				5	1	1	5	9										5	5	5					5		9	1								1				1	5		5	5						5								5						1										5		5		1				1			5	1		9				1						1		5	5	1				1							5									1	5	5								1					5	5		1			1							5								5					1					62
Ge12				5			1	1			5				1							9			5						1		5	5			1		1	1						5																										1				1	5					1	5											1	5	9							5			5											9		5	9							1							9	1			1		1										5	5	5		5				5			1			9				1								1	5	5				5				1			5									5	5	5		1					5						1	1					5		1				1									5										57
Ge13				5			5	1			5	1		5						1		9			5								5							1						5				1	1						1						1			1		5	1							1		1	5	5		1	5											1		5							5				1					5				1	5			5					5							1	1	5	5				5								1			5		5						1			5	1						1						1			1	5				1							1							5			1	5	5						5		5					5					5							1	5				1			5					5		1			65
Ge14				5					1											1		9			1		1	1	9	1	5					1			5		9					5			1																				1									1		9		1	5							1				1	5	9					1								1						1	1		1		5				1									1	1		1		5					1	1			1	1		5		1					1				1	5						1			1				1	5		1		5		1		1	1		5				9									9							5						5				1		1							5	1						1										1	64
Ge15				5							5				1					1		9	1		5				9		5		9						1							9						1					1						5		1			5		1												1		1											5	9						1	5				1								1									1			1							9	5			5				1										5				5					5	5			5			1										5				5			1											1			1																												1			1		1				1								47
Ge16				5				1			5														5						5		5	1						1																	1							5		1										5	5			9		1	5													5					5		5					1						1			1			5				1									5		5			5	1											9		5						5		5	5	5						1										1				5							5		5				1												5		5				5	5										1										5										46
Ge17				5							5				1							5			5				1	5			5		1				5	1		1				5				1																										1		1	1								1									9					1																5			5						5	1			1		1	1		1			5			1							9		5		5		5				5			1	1		5				1			1			1		1	5	1				1			5				5										1	5			1				5		1					1					5	1							5							5				5						58
Ge18				5							5											9			5				5		5		5	5					5								1																	1																1														1	5	5			1					5						1							9			5										1			1	5						1	1									5	5	5		5				5			5	5						1								1	5	5				1							5									5	5																	1			5	5				1			1							1	1									47
Ge19				5	1			1			5			1	1							5			5					1	5		1						5							5				1		1																1								1				5			5				1							1	5	5			1				5		1												5			5				1	1	5	1		1			1	1	1	1			5	5										1	5		5	5					5			5	5				1		1						1			1					1							5							5				5	5						5		5					5					5	1						1	5		1		1			1				1	1	1				68
Ge2				9			1	1			9				1							9			5				5				5	5	5				5	1						5																			1		5	5	1							5				5		1	5	1	1										5	1							5	1		5								1			5		5	5														5				1												9	1	5						5			9	5		5				1									9	5				1			1				5		1						5		5	5	5						5						5	5					5						1		5									5			1					61
Ge20				5							5			1								1			5								1																	1		1	1													1										1				5					1									1		9					5																5			1				5	5					1				5							1									5	1	5						5			9							1									5	5				1							5																		5		1				1	5												5	5																	39
Ge21			5	5			5	1			9									1		5			5				5		5		5	5					1	1							1			1		1														1		5												9		1													5	5					5		1						1								5			5				1		5				1		1	1	5		1		5	1											5	1	5	5					5			5	5						1								5	1	5				1																		9							1		1				5	1		1			1							1	5							1				1						60
Ge22				9			5	1		5	5											5			5					1										1							1																													1			1	9															5	5							1								1					1								5		5							5	5	1				1							5				5			5					5		1	5	5						5						1			5	5				1								5	1	1				1				5							9		5				5	5													5							5				1						48
Ge23				9							5											9		1	5				5				5						1		5	5						1															1				1	1								1		1		9					1									5	5	9					1		1												1	1	5			9				1		5							5	5				5	1											5		1	5		5			5			5	5						1						1		1	1														1									5							5		5				5													1								1			5							52
Ge24				5				5			1											9			1								9	5																				1			1						5			1										1				5															5	9																					9			5							1							9				1							1					9				9				5			5	1						1								1	5	1							1					5									1	1																			1					1			1		1	1	1			5										41
Ge25				5							5										1	1			1				1		1																																											1		1				5		1	5		1																5																1			5												1	1					1	5											5								5			1	1																							1						1									5											5		9	9																														30
Ge26				5							5											5			5				5		5		9	9						5		1				5																					5	1								1				5				1										5		5							5										1			1	9			5							1			1		1		5																9		5	5		5			5			5	5		5				1								5		5				1																		5							9		1				5	1		1			1					1			5				1			1		1	1							52
Ge27				9		1	5	1			5											9		1					9											1								1																			5										1			9		1	5							1					5	9					5												1	1		1	5			5												5		5	1			9					5							9		5					1			5	5	5				1		1								1	5					1							5											5	5									5				9					5							1	5				1					5		9		1				52
Ge28		1		5					1													9			5				5	1	5										5																																							9											1		1	5		9																								5				1									1	5	1			5	1										1	9	1						1				5	5																5																						5							9		5				5						1							1	5			1												1		37
Ge29				5			1	1		5	5			5						1		5							5										1																												5	1												9														1	5	5																		5	1		5			5				1		5						1	5	5					1		1									5	1	5						9			5	5					1	1								1	1					5									1		1			1				9							5						5	1					5								5										5							48
Ge3				5			1		1	9										1		5	1			5	5		9										5		5								5						5		1												1											9		1											5		5		5				1												1							5				5	5					1			5	5		1			5												1				9		1	1		1	5	5						5								5		5							1		1				1	1				5				5							9						5	1												1	5										1							53
